month_date,total_weight,total_volume,precip
2014-05-01,25.98,116,3.35
2014-06-01,32,139,3.95
2014-07-01,21.2,106,2.8
2014-08-01,18.17,80,7.9
2014-09-01,8.14,41,3.21
2014-10-01,14.719999999999999,77,4.16
2014-11-01,12.67,63,3.36
2014-12-01,8.47,47,3.58
2015-01-01,7.01,44,3.89
2015-02-01,2.54,15,2.24
2015-03-01,7.67,48,4.67
2015-04-01,24.009999999999998,125,4.3
2015-05-01,22.419999999999998,90,2.1
2015-06-01,76.89,336,13.09
2015-07-01,21.21,96,3.49
2015-08-01,20.58,87,2.46
2015-09-01,17.65,73,3.25
2015-10-01,8.25,48,3.4
2015-11-01,4.46,15,2.42
2015-12-01,26.11,126,5.85
2016-01-01,3.6,15,3.5
2016-02-01,20.759999999999998,96,5.7
2016-03-01,15.28,81,2.1
2016-04-01,19.64,81,1.31
2016-05-01,9.459999999999999,48,5.24
2016-06-01,19.5,96,3.2
2016-07-01,26.74,126,6.09
2016-08-01,18.5,81,3.96
2016-09-01,8.64,48,4.36
2016-10-01,5.9,33,0.78
2016-11-01,6.74,48,1.51
2016-12-01,7.699999999999999,48,2.77
2017-01-01,7.93,60,2.69
2017-02-01,13.53,81,1.46
2017-03-01,11.31,78,3.82
2017-04-01,67.53,321,3.52
2017-05-01,34.589999999999996,159,5.64
2017-06-01,10.91,63,1.4
2017-07-01,20.65,126,7.11
2017-08-01,29.73,159,4.6
2017-09-01,6.6899999999999995,48,1.95
2017-10-01,5.52,33,2.99
2017-11-01,5.15,38,2.15
2018-01-01,5.24,45,1
2018-02-01,34.09,174,5.3
2018-03-01,7.62,45,2.25
2018-04-01,61.35,297,3.2
2018-05-01,39.79,180,8.17
2018-06-01,41.269999999999996,205,4.77
2018-07-01,59.21,275,16.73
2018-08-01,21.55,106,3.84
2018-09-01,28.15,156,9.19
2018-10-01,12.43,73,2.69
2018-11-01,36.41,186,8.14
2018-12-01,15.92,86,6.54
2019-01-01,5.57,30,3.15
2019-02-01,7.449999999999999,45,3.64
2019-03-01,19.89,120,4.14
2019-04-01,30.68,145,1.46
2019-05-01,37.56,190,5.51
2019-06-01,12.34,75,2.95
2019-07-01,36.44,195,3.85
2019-08-01,29.74,144,2.39
2019-10-01,26.31,135,6.21
2019-11-01,24.43,130,1.1
2019-12-01,7.26,45,3.57
2020-01-01,25.84,158,3.11
2020-02-01,3.61,30,2.98
2020-03-01,10.16,60,3.05
2020-04-01,31.29,145,5.52
2020-05-01,13.51,60,1.76
2020-06-01,44.699999999999996,220,5.95
2020-07-01,24.48,135,3.43
2020-08-01,14.27,105,11.81
2020-09-01,10.45,60,4.48
2020-10-01,14.4,75,4.36
2020-11-01,11.55,55,6.35
2020-12-01,41.61,225,4.58
2021-01-01,5.6899999999999995,40,2.15
2021-02-01,3.6399999999999997,30,4.85
2021-03-01,27.68,150,3.9
2021-04-01,4.72,25,2.07
2021-05-01,23.3,105,3.63
2021-06-01,35.65,160,2.75
2021-07-01,23.86,160,3.65
2021-08-01,60.47,315,4.36
2021-09-01,43.58,235,6.04
2021-10-01,28.11,145,5.24
2021-11-01,110.57,495,1.33
2021-12-01,6.92,60,0.82
2022-01-01,28.88,165,4.27
2022-02-01,3.64,25,2.31
2022-03-01,21.159999999999997,120,3.13
2022-04-01,39.74,210,3.92
2022-05-01,51.41,225,5.39
2022-06-01,68.67999999999999,325,2.95
2022-07-01,90.3,433,6.25
2022-08-01,13.58,75,3.71
2022-09-01,52.71,235,3.35
2022-10-01,15.219999999999999,84,4.66
2022-11-01,22.79,135,2.44
2022-12-01,55.83,299,4.8
2023-01-01,11.99,60,1.68
2023-02-01,14.76,85,2.18
2023-03-01,11.870000000000001,60,1.49
2023-04-01,45.12,190,4.12
2023-05-01,15.790000000000001,75,0.55
2023-06-01,37.55,190,4.31
2023-07-01,87.31,380,6.84
2023-08-01,59.52,320,3.73
2023-09-01,75.88,350,6.27
2023-10-01,8.59,65,1.13
2023-11-01,42.66,220,2.8
2023-12-01,93.47,420,7.16
