team,athlete_name,week,passing_yds,cume_pass_yds
Indiana,Kurtis Rourke,14,349,2827
Maryland,Billy Edwards,12,335,2855
Maryland,Billy Edwards,13,26,2881
Maryland,Billy Edwards,14,0,2881
Minnesota,Max Brosmer,14,191,2618
Nebraska,Dylan Raiola,14,190,2582
Ohio State,Will Howard,13,201,2685
Ohio State,Will Howard,14,175,2860
Oregon,Dillon Gabriel,10,294,2665
Oregon,Dillon Gabriel,11,183,2848
Oregon,Dillon Gabriel,12,218,3066
Oregon,Dillon Gabriel,13,0,3066
Oregon,Dillon Gabriel,14,209,3275
Penn State,Drew Allar,14,171,2668
UCLA,Ethan Garbers,14,289,2727
USC,Miller Moss,10,293,2555
USC,Miller Moss,11,0,2555
USC,Miller Moss,12,0,2555
USC,Miller Moss,13,0,2555
USC,Miller Moss,14,0,2555
